PosX,PosY,PosZ,Orientation X,Orientation Y,Orientation Z,SessionID,PlayerID,DateTime,
28.1364,0.3546919,10.57075,8.573725,308.6103,4.317112E-07,79870,97833,21/12/2020 13:08:50,
27.30629,0.3259766,11.23681,8.573722,308.6603,0,79870,97833,21/12/2020 13:08:50,
26.94837,0.314303,12.19736,8.734256,314.0446,-4.318954E-07,79870,97833,21/12/2020 13:08:50,
27.02414,0.2650106,13.23588,8.944415,325.6826,0,79870,97833,21/12/2020 13:08:50,
27.19153,0.3846714,14.25154,8.877447,335.5504,4.320626E-07,79870,97833,21/12/2020 13:08:51,
27.4376,0.4950937,15.32871,8.933702,349.4422,0,79870,97833,21/12/2020 13:08:51,
28.06436,0.4470042,16.18549,9.172664,352.5637,-4.324164E-07,79870,97833,21/12/2020 13:08:51,
28.71999,0.3820364,17.01552,9.276485,352.8528,0,79870,97833,21/12/2020 13:08:51,
29.37516,0.3178139,17.84014,9.389264,352.9825,0,79870,97833,21/12/2020 13:08:51,
30.03131,0.2543614,18.66543,9.428907,352.9885,0,79870,97833,21/12/2020 13:08:52,
30.59938,0.1253686,19.48674,9.437221,352.9887,4.327437E-07,79870,97833,21/12/2020 13:08:52,
30.57882,0.1937258,20.55246,9.190218,333.1775,-4.324377E-07,79870,97833,21/12/2020 13:08:52,
30.04977,0.2180145,21.47272,8.512006,324.5793,0,79870,97833,21/12/2020 13:08:52,
29.37723,0.2961998,22.28495,7.859022,315.2684,8.618687E-07,79870,97833,21/12/2020 13:08:53,
28.59332,0.3596067,22.98515,7.657612,308.6097,0,79870,97833,21/12/2020 13:08:53,
27.78631,0.3985547,23.59153,7.699745,295.5992,6.461561E-07,79870,97833,21/12/2020 13:08:53,
26.73733,0.4429842,23.98974,7.862087,286.7839,-6.464065E-07,79870,97833,21/12/2020 13:08:53,
25.71569,0.4279426,24.25513,8.045532,281.7597,1.077826E-06,79870,97833,21/12/2020 13:08:54,
24.68791,0.2985153,24.43679,8.347398,277.797,-2.157289E-07,79870,97833,21/12/2020 13:08:54,
23.68054,0.3666825,24.55105,8.443092,277.4467,0,79870,97833,21/12/2020 13:08:54,
22.58779,0.2935365,24.43432,7.718731,262.2848,5.384876E-07,79870,97833,21/12/2020 13:08:54,
21.5406,0.338291,24.27303,7.723094,260.6721,-8.615889E-07,79870,97833,21/12/2020 13:08:55,
20.50432,0.4079992,24.07158,7.724012,260.4504,7.53892E-07,79870,97833,21/12/2020 13:08:55,
19.47321,0.419958,23.86996,7.724201,258.603,4.307956E-07,79870,97833,21/12/2020 13:08:55,
18.56492,0.4318655,23.36063,6.622428,233.9296,-2.685964E-08,79870,97833,21/12/2020 13:08:55,
18.33895,0.4709415,22.33331,6.082782,230.9585,-5.366299E-08,79870,97833,21/12/2020 13:08:56,
18.23372,0.6107723,21.29936,5.970039,230.8754,5.096924E-07,79870,97833,21/12/2020 13:08:56,
17.93425,0.8026267,20.34884,5.946411,230.873,1.341238E-07,79870,97833,21/12/2020 13:08:56,
17.24078,0.8523343,19.60298,5.940973,230.873,-1.341225E-07,79870,97833,21/12/2020 13:08:56,
17.24008,0.7981372,18.50622,5.94014,230.873,-1.341223E-07,79870,97833,21/12/2020 13:08:56,
17.24008,0.6585799,17.47032,5.94014,230.873,-1.341223E-07,79870,97833,21/12/2020 13:08:57,
17.24447,0.5982544,16.41718,5.91478,219.6245,2.145858E-07,79870,97833,21/12/2020 13:08:57,
17.56079,0.5806738,15.41549,5.275804,198.5424,1.071758E-07,79870,97833,21/12/2020 13:08:57,
17.79769,0.7715565,14.4435,5.984566,196.5442,2.14613E-07,79870,97833,21/12/2020 13:08:57,
17.28585,0.7795545,13.53959,7.345996,195.4041,2.152098E-07,79870,97833,21/12/2020 13:08:57,
17.3233,0.8829082,12.53699,8.630563,185.8274,0,79870,97833,21/12/2020 13:08:57,
18.05734,1.02195,11.81315,9.93149,168.7287,-8.667623E-07,79870,97833,21/12/2020 13:08:57,
19.00024,0.864637,11.39144,10.80508,154.1622,-4.345918E-07,79870,97833,21/12/2020 13:08:58,
20.02803,1.16315,11.11879,11.14964,146.7708,4.350991E-07,79870,97833,21/12/2020 13:08:58,
20.81597,2.00315,10.98134,11.21917,143.3157,4.352035E-07,79870,97833,21/12/2020 13:08:58,
21.60795,2.619151,10.8684,11.24196,142.8127,0,79870,97833,21/12/2020 13:08:58,
22.56004,2.967151,10.74551,11.25016,141.9261,8.705005E-07,79870,97833,21/12/2020 13:08:58,
