PosX,PosY,PosZ,Orientation X,Orientation Y,Orientation Z,PlayerID,DateTime,
20.73373,0.221951,20.81035,32.2604,331.2477,2.019258E-06,34502,21/12/2020 0:02:10,
19.6166,0.4256535,22.75952,32.35529,328.5577,4.042749E-06,34502,21/12/2020 0:02:10,
19.04819,0.4232029,23.68963,32.3639,328.5577,1.010783E-06,34502,21/12/2020 0:02:11,
19.04819,0.4232029,23.68963,32.57389,328.5577,0,34502,21/12/2020 0:02:11,
18.88964,0.417914,23.78434,32.62803,300.7191,-7.09629E-06,34502,21/12/2020 0:02:11,
18.88964,0.4179139,23.78434,32.58371,300.7191,-3.039762E-06,34502,21/12/2020 0:02:12,
18.88964,0.4179139,23.78434,32.82584,278.3192,0,34502,21/12/2020 0:02:12,
18.8748,0.4250585,23.60281,33.69009,180.9099,0,34502,21/12/2020 0:02:12,
18.8748,0.4250585,23.60281,33.35415,180.9099,2.044261E-06,34502,21/12/2020 0:02:13,
18.8748,0.4250585,23.60281,33.69007,180.9099,1.026108E-06,34502,21/12/2020 0:02:13,
18.8748,0.4250585,23.60281,34.2035,180.9099,-3.09695E-06,34502,21/12/2020 0:02:13,
18.8748,0.4250585,23.60281,33.34006,180.9099,3.065895E-06,34502,21/12/2020 0:02:13,
18.88089,0.4272294,23.55013,33.69006,152.9301,1.859821E-06,34502,21/12/2020 0:02:14,
20.12753,0.3956727,22.53222,33.46878,116.708,2.558702E-06,34502,21/12/2020 0:02:14,
22.27978,0.04435056,22.41225,30.79885,106.9969,-2.98185E-06,34502,21/12/2020 0:02:14,
24.32668,0.3141888,21.51073,30.35633,113.6101,-1.978849E-06,34502,21/12/2020 0:02:15,
26.45943,0.3209577,21.50274,30.81514,67.4799,3.976475E-06,34502,21/12/2020 0:02:15,
28.59932,0.209079,21.14714,31.05899,112.5148,9.966579E-07,34502,21/12/2020 0:02:15,
30.60361,2.06362,20.12004,33.69008,113.8866,2.052216E-06,34502,21/12/2020 0:02:16,
30.72737,1.90362,20.91478,33.69007,332.256,6.156649E-06,34502,21/12/2020 0:02:16,
30.39769,0.2969584,22.41339,33.69007,22.44518,4.104432E-06,34502,21/12/2020 0:02:16,
31.411,0.401152,22.27838,33.41204,150.3828,-4.091246E-06,34502,21/12/2020 0:02:16,
31.19113,1.951303,20.68393,33.69007,196.7079,0,34502,21/12/2020 0:02:17,
31.12608,2.099303,20.41158,33.69007,105.106,6.156649E-06,34502,21/12/2020 0:02:17,
31.12608,0.4385159,20.41158,33.35098,105.106,-1.022093E-06,34502,21/12/2020 0:02:17,
31.12608,0.4385159,20.41158,32.86286,105.106,-1.016431E-06,34502,21/12/2020 0:02:18,
31.12608,0.4385159,20.41158,30.68442,105.106,0,34502,21/12/2020 0:02:18,
31.12608,0.4385159,20.41158,29.61717,105.106,9.820862E-07,34502,21/12/2020 0:02:18,
31.12608,0.4385159,20.41158,27.09867,105.106,-3.836222E-06,34502,21/12/2020 0:02:19,
31.12608,0.4385159,20.41158,27.78111,105.106,0,34502,21/12/2020 0:02:19,
31.12608,0.4385159,20.41158,29.55004,105.106,1.962866E-06,34502,21/12/2020 0:02:19,
31.12608,0.4385159,20.41158,29.2107,105.106,1.222707E-07,34502,21/12/2020 0:02:19,
31.12608,0.4385159,20.41158,22.19906,105.106,-9.221245E-07,34502,21/12/2020 0:02:20,
31.12608,0.4385159,20.41158,18.87035,105.106,4.51134E-07,34502,21/12/2020 0:02:20,
31.12608,0.4385159,20.41158,15.44638,105.106,8.857673E-07,34502,21/12/2020 0:02:20,
31.12608,0.4385159,20.41158,14.73516,105.106,-1.324211E-06,34502,21/12/2020 0:02:21,
31.12608,0.4385159,20.41158,14.70338,105.106,0,34502,21/12/2020 0:02:21,
31.12608,0.4385159,20.41158,14.70202,105.106,0,34502,21/12/2020 0:02:21,
31.12608,0.4385159,20.41158,14.70198,105.106,0,34502,21/12/2020 0:02:22,
31.12608,0.4385159,20.41158,15.01374,105.106,8.839483E-07,34502,21/12/2020 0:02:22,
31.12608,0.4385159,20.41158,17.47723,105.106,8.950944E-07,34502,21/12/2020 0:02:22,
31.12608,0.4385159,20.41158,17.64746,105.106,-1.791873E-06,34502,21/12/2020 0:02:22,
31.12608,0.4385159,20.41158,19.12447,105.106,4.518234E-07,34502,21/12/2020 0:02:23,
31.12608,0.4385159,20.41158,33.75318,105.106,1.026863E-06,34502,21/12/2020 0:02:23,
31.12608,0.4385159,20.41158,33.25885,105.106,2.042028E-06,34502,21/12/2020 0:02:23,
31.12608,0.4385159,20.41158,32.79813,105.106,0,34502,21/12/2020 0:02:24,
31.12608,0.4385159,20.41158,32.84318,105.106,-1.016206E-06,34502,21/12/2020 0:02:24,
31.12608,0.4385159,20.41158,32.90058,105.106,3.050592E-06,34502,21/12/2020 0:02:24,
31.12608,0.4385159,20.41158,33.46522,105.106,-4.093753E-06,34502,21/12/2020 0:02:25,
31.12608,0.4385159,20.41158,33.54379,105.106,-6.146207E-06,34502,21/12/2020 0:02:25,
31.12608,0.4385159,20.41158,33.2245,105.106,-2.041226E-06,34502,21/12/2020 0:02:25,
31.12608,0.4385159,20.41158,32.36303,105.106,2.021547E-06,34502,21/12/2020 0:02:25,
31.12608,0.4385159,20.41158,33.07589,105.106,0,34502,21/12/2020 0:02:26,
31.12608,0.4385159,20.41158,33.03394,105.106,4.073601E-06,34502,21/12/2020 0:02:26,
31.12608,0.4385159,20.41158,33.10411,105.106,4.07685E-06,34502,21/12/2020 0:02:26,
31.12608,0.4385159,20.41158,33.11077,105.106,0,34502,21/12/2020 0:02:27,
31.12608,0.4385159,20.41158,33.11107,105.106,0,34502,21/12/2020 0:02:27,
31.12608,0.4385159,20.41158,32.93161,105.106,-4.068882E-06,34502,21/12/2020 0:02:27,
31.12608,0.4385159,20.41158,32.57294,105.106,0,34502,21/12/2020 0:02:28,
31.12608,0.4385159,20.41158,32.35019,105.106,2.02126E-06,34502,21/12/2020 0:02:28,
31.12608,0.4385159,20.41158,32.73055,105.106,-2.02984E-06,34502,21/12/2020 0:02:28,
31.12608,0.4385159,20.41158,32.48095,105.106,-2.024191E-06,34502,21/12/2020 0:02:28,
31.12608,0.4385159,20.41158,32.52193,105.106,-4.050228E-06,34502,21/12/2020 0:02:29,
31.12608,0.4385159,20.41158,32.5275,105.106,0,34502,21/12/2020 0:02:29,
31.12608,0.4385159,20.41158,32.52773,105.106,-2.025245E-06,34502,21/12/2020 0:02:29,
31.12608,0.4385159,20.41158,32.52773,105.106,0,34502,21/12/2020 0:02:30,
31.12608,0.4385159,20.41158,32.52773,105.106,0,34502,21/12/2020 0:02:30,
31.12608,0.4385159,20.41158,32.52773,105.106,0,34502,21/12/2020 0:02:30,
31.12608,0.4385159,20.41158,32.52773,105.106,0,34502,21/12/2020 0:02:31,
26,0.04483724,1,32.52774,90,-2.025245E-06,34502,21/12/2020 0:02:31,
26,0.04483724,1,32.52774,90,-2.025245E-06,34502,21/12/2020 0:02:31,
26,0.04483724,1,32.52774,90,-2.025245E-06,34502,21/12/2020 0:02:31,
26,0.04483724,1,31.77166,90,0,34502,21/12/2020 0:02:32,
26,0.04483724,1,20.61765,90,9.12199E-07,34502,21/12/2020 0:02:32,
26,0.04483724,1,18.31021,90,2.697918E-06,34502,21/12/2020 0:02:32,
26.36904,0.06165081,0.8604022,18.44954,114.9202,1.800066E-06,34502,21/12/2020 0:02:33,
28.51688,0.1176008,0.9048518,18.1334,105.3394,8.983928E-07,34502,21/12/2020 0:02:33,
30.76164,0.2843683,0.9101239,16.08839,84.40923,2.221436E-06,34502,21/12/2020 0:02:33,
32.06822,0.302655,2.369355,22.20984,348.1158,-9.221953E-07,34502,21/12/2020 0:02:34,
30.43545,0.2360636,3.836898,24.66129,329.4865,1.409192E-06,34502,21/12/2020 0:02:34,
30.94849,0.6032269,5.902137,22.81878,15.04939,-9.26267E-07,34502,21/12/2020 0:02:34,
30.11523,0.5381129,7.942204,21.81442,329.2392,-1.379439E-06,34502,21/12/2020 0:02:34,
28.79027,0.5482049,9.726522,21.56079,300.3019,-9.180084E-07,34502,21/12/2020 0:02:35,
26.73354,0.226494,10.31929,21.89083,315.8083,4.600589E-07,34502,21/12/2020 0:02:35,
27.13865,0.3348533,12.15239,22.88264,43.99852,-4.343916E-08,34502,21/12/2020 0:02:35,
27.13865,0.3348533,12.15239,22.2556,43.99852,-4.612482E-07,34502,21/12/2020 0:02:36,
27.18837,0.3611057,11.95115,21.36073,188.2522,-9.167491E-07,34502,21/12/2020 0:02:36,
27.00551,0.2471669,10.27781,15.28648,158.2287,-4.425442E-07,34502,21/12/2020 0:02:36,
28.9375,0.5920472,9.460659,14.39199,100.2647,8.814348E-07,34502,21/12/2020 0:02:37,
30.50696,0.5807768,8.228647,14.51414,177.8834,-1.102399E-07,34502,21/12/2020 0:02:37,
29.49233,0.46369,6.249333,15.41096,193.6707,-8.856164E-07,34502,21/12/2020 0:02:37,
